information,fake
Des scientifiques découvrent un nouveau traitement pour le cancer,0
Le président annonce une réforme majeure du système de santé,0
Une étude révèle que le vaccin contre la grippe peut causer des effets secondaires graves,1
Une vidéo virale prétend montrer un OVNI survolant la ville,1
Les élections ont été truquées affirment des témoins oculaires,1
Un virus informatique menace de pirater les systèmes bancaires mondiaux,1
Un expert en santé publique dément les rumeurs sur les effets secondaires du vaccin COVID-19,0
Des chercheurs découvrent un lien entre la consommation de café et la réduction du risque de maladie d'Alzheimer,0
Un nouveau rapport met en lumière les effets dévastateurs du changement climatique sur la biodiversité,0
Une vidéo virale prétend montrer un scientifique affirmant que le vaccin contre le COVID-19 est dangereux,1
Des rumeurs circulent sur les réseaux sociaux selon lesquelles le gouvernement cache la vérité sur l'origine du virus Ebola,1
Une étude indépendante réfute les allégations selon lesquelles les ondes 5G contribuent à la propagation du COVID-19,0
Un article prétend que manger de l'ail peut guérir le cancer malgré le manque de preuves scientifiques,1
Une infographie partagée sur Facebook déforme les statistiques pour faire croire à une augmentation alarmante de la criminalité,1
Un rapport gouvernemental confirme que les nouvelles politiques de santé publique ont permis de réduire le taux de maladies infectieuses,0
Un article affirme que la consommation de miel peut prévenir le rhume et la grippe,1
Une étude publiée dans une revue médicale réputée prouve l'efficacité d'un nouveau médicament contre le diabète,0
Une vidéo virale prétend montrer un politicien en train de recevoir un pot-de-vin,1
Un article de blog partage des informations erronées sur les effets secondaires des vaccins,1
Un rapport gouvernemental détaille les progrès réalisés dans la lutte contre la pollution de l'air,0
Une rumeur sur les réseaux sociaux prétend que les masques faciaux sont inutiles pour prévenir la propagation du COVID-19,1
Une vidéo en ligne affirme que la Terre est plate et que la NASA cache cette information au public,1
Un sondage révèle que la plupart des citoyens soutiennent les mesures de confinement pour lutter contre la pandémie,0
Une étude publiée dans The Lancet confirme l'efficacité du vaccin Pfizer-BioNTech contre le COVID-19,0
Une vidéo manipulée prétend montrer des urnes remplies de bulletins de vote trouvés dans une benne à ordures lors des élections présidentielles,1
Un article partagé sur Facebook affirme que boire de l'eau chaude avec du citron peut guérir le COVID-19,1
Un reportage télévisé révèle des preuves de corruption au sein du gouvernement local,0
Une infographie virale prétend montrer un lien entre la 5G et la propagation du coronavirus,1
Un rapport de l'OMS dénonce les conséquences néfastes de la désinformation sur la santé publique,0
Des images partagées sur Twitter montrent des manifestations contre la brutalité policière,0
Un article de blog prétend que la pandémie de COVID-19 est une conspiration mondiale pour contrôler la population,1
Une vidéo virale affirme que Macron est un homme,0
Une étude récente suggère que le yoga peut réduire le stress et améliorer la santé mentale,0
Un reportage télévisé dévoile des preuves de fraude électorale lors des élections locales,1
Une publication sur les réseaux sociaux prétend que le réchauffement climatique est un canular inventé par les scientifiques,1
Des chercheurs découvrent un lien entre la consommation de fruits et légumes et la prévention des maladies cardiaques,0
Une vidéo virale montre des manifestations pacifiques pour les droits civils,0
Un article de blog affirme que la terre est plate et que la NASA cache cette information,1
Une étude indépendante réfute les allégations selon lesquelles la consommation de café est nocive pour la santé,0
Une infographie partagée sur internet déforme les statistiques pour exagérer le taux de criminalité,1
Un rapport gouvernemental confirme une baisse significative du taux de chômage,0
Une vidéo virale prétend montrer des extraterrestres atterrissant sur terre,1
Un article de presse révèle des scandales de corruption au sein de l'industrie pharmaceutique,0
Une publication sur les réseaux sociaux accuse une célébrité d'avoir participé à un trafic d'animaux exotiques,1
Une étude scientifique met en évidence les bienfaits de la méditation sur la santé mentale,0
Un discours politique contient des déclarations trompeuses sur les politiques économiques du gouvernement,1
Une infographie partagée sur internet présente des données fausses sur l'efficacité des masques faciaux,1
Un rapport indépendant conteste les conclusions d'une étude sur les effets du tabagisme passif,0
Une nouvelle étude révèle que le chocolat noir peut réduire le risque de maladies cardiaques,0
Une vidéo virale prétend montrer des scientifiques créant des animaux génétiquement modifiés monstrueux,1
Un article de blog affirme que la consommation de curcuma peut guérir le cancer,1
Une conférence de presse annonce des découvertes révolutionnaires dans le domaine de l'énergie renouvelable,0
Une chaîne de messagerie instantanée propage des rumeurs infondées sur une prochaine apocalypse,1
Une étude universitaire montre que la pratique régulière d'exercices physiques peut améliorer la santé mentale,0
Un discours politique prétend que le changement climatique est un complot pour contrôler l'économie mondiale,1
Un rapport scientifique met en lumière les dangers des pesticides pour la santé humaine et l'environnement,0
Une vidéo sur les réseaux sociaux prétend que la Terre est plate et que les agences spatiales cachent cette information,1
Un article de presse rapporte une nouvelle découverte archéologique majeure dans une ancienne cité perdue,0
Une publication sur les réseaux sociaux accuse une entreprise de technologie de collecter illégalement des données personnelles,1
Un rapport gouvernemental confirme l'efficacité des mesures de confinement pour réduire la propagation du COVID-19,0
Une infographie partagée sur internet présente des données trompeuses sur l'efficacité des vaccins contre le COVID-19,1
Une étude scientifique révèle des liens entre la pollution de l'air et l'augmentation des cas de maladies respiratoires,0
Une chaîne de messagerie instantanée propage des rumeurs infondées sur une prétendue invasion extraterrestre imminente,1
Un discours politique promet des mesures drastiques pour lutter contre le changement climatique et protéger l'environnement,0
Une vidéo virale prétend montrer une créature mythique vivant au fond des océans,1
Une étude révèle que la pratique régulière de la méditation peut réduire les niveaux de stress,0
Une publication sur les réseaux sociaux affirme que boire de l'eau de javel peut guérir le cancer,1
Un rapport gouvernemental annonce une augmentation des investissements dans les énergies renouvelables,0
Une infographie partagée sur internet prétend montrer une augmentation spectaculaire du nombre de crimes dans une ville,1
Une étude scientifique met en évidence les bienfaits de la consommation de fruits et légumes pour la santé,0
Un discours politique accuse les médias de propager de fausses informations pour manipuler l'opinion publique,1
Une vidéo virale prétend montrer des extraterrestres visitant la Terre,1
Un article de blog affirme que la consommation de jus d'orange peut augmenter l'immunité,0
Une vidéo virale prétend montrer des créatures surnaturelles dans une forêt reculée,1
Une publication sur les réseaux sociaux accuse une entreprise de produits de beauté de tester ses produits sur des animaux,1
